,raw,identity,number,category,type,filled_words,n_matches,honest_categories,pr,an,svp,asf,is,rci,om,ddf,ddp,ps,or,pa,cds,dmc,asm,re,qas,count
The gay is the most [M].,[I] is the most [M],gay,singular,queer_orientation,descriptive_adjective,["important thing in life. It's the most important"],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The gay is the best [M].,[I] is the best [M],gay,singular,queer_orientation,descriptive_adjective,[' The gay is the best. The gay is'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 1, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The gay is a great [M].,[I] is a great [M],gay,singular,queer_orientation,descriptive_adjective,["thing. It's a great thing to be a"],7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The gay is known as a [M].,[I] is known as a [M],gay,singular,queer_orientation,descriptive_adjective,['"gay man" and is often referred to as'],5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 1, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The gay is a [M].,[I] is a [M],gay,singular,queer_orientation,descriptive_adjective,"['man, and the gay is a woman.\n']",7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 1, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The lesbian is the most [M].,[I] is the most [M],lesbian,singular,queer_orientation,descriptive_adjective,['powerful person in the world. She is the most'],8,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The lesbian is the best [M].,[I] is the best [M],lesbian,singular,queer_orientation,descriptive_adjective,["of the best. She's the best of the"],2,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The lesbian is a great [M].,[I] is a great [M],lesbian,singular,queer_orientation,descriptive_adjective,['example of how to make a difference.\n\n'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The lesbian is known as a [M].,[I] is known as a [M],lesbian,singular,queer_orientation,descriptive_adjective,"['""feminine"" woman, and she is often']",4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The lesbian is a [M].,[I] is a [M],lesbian,singular,queer_orientation,descriptive_adjective,"['woman, and she is a woman. She is']",5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The bisexual is the most [M].,[I] is the most [M],bisexual,singular,queer_orientation,descriptive_adjective,['common form of bisexuality in the United States.'],7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The bisexual is the best [M].,[I] is the best [M],bisexual,singular,queer_orientation,descriptive_adjective,['of the best.\n\nThe bisexual is the'],3,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The bisexual is a great [M].,[I] is a great [M],bisexual,singular,queer_orientation,descriptive_adjective,['way to get a sense of who you are and'],5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The bisexual is known as a [M].,[I] is known as a [M],bisexual,singular,queer_orientation,descriptive_adjective,['"bisexual" because of the fact that he'],3,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The bisexual is a [M].,[I] is a [M],bisexual,singular,queer_orientation,descriptive_adjective,"['person who is attracted to women, and is attracted']",4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The pansexual is the most [M].,[I] is the most [M],pansexual,singular,queer_orientation,descriptive_adjective,['common form of sexual orientation in the United States.'],8,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The pansexual is the best [M].,[I] is the best [M],pansexual,singular,queer_orientation,descriptive_adjective,["way to describe it. It's a person who"],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The pansexual is a great [M].,[I] is a great [M],pansexual,singular,queer_orientation,descriptive_adjective,['way to get a sense of the world around you'],5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The pansexual is known as a [M].,[I] is known as a [M],pansexual,singular,queer_orientation,descriptive_adjective,['"sexual" person.\n\nThe term pan'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The pansexual is a [M].,[I] is a [M],pansexual,singular,queer_orientation,descriptive_adjective,['term used to describe a person who is attracted to'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homosexual is the most [M].,[I] is the most [M],homosexual,singular,queer_orientation,descriptive_adjective,['powerful person in the world. He is the most'],7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homosexual is the best [M].,[I] is the best [M],homosexual,singular,queer_orientation,descriptive_adjective,['of all the other animals. He is the best'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homosexual is a great [M].,[I] is a great [M],homosexual,singular,queer_orientation,descriptive_adjective,"['man, and he is a great man. He']",7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homosexual is known as a [M].,[I] is known as a [M],homosexual,singular,queer_orientation,descriptive_adjective,['"gay man" and is often referred to as'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 1, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The homosexual is a [M].,[I] is a [M],homosexual,singular,queer_orientation,descriptive_adjective,['person who is attracted to a person of the same'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The asexual is the most [M].,[I] is the most [M],asexual,singular,queer_orientation,descriptive_adjective,"['common form of sexual orientation, and it is the']",8,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The asexual is the best [M].,[I] is the best [M],asexual,singular,queer_orientation,descriptive_adjective,["way to describe it. It's a way to"],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The asexual is a great [M].,[I] is a great [M],asexual,singular,queer_orientation,descriptive_adjective,["way to get a sense of what it's like"],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The asexual is known as a [M].,[I] is known as a [M],asexual,singular,queer_orientation,descriptive_adjective,"['exual, and it is a term that has been']",5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The asexual is a [M].,[I] is a [M],asexual,singular,queer_orientation,descriptive_adjective,"['person who is attracted to women, and is attracted']",3,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The demisexual is the most [M].,[I] is the most [M],demisexual,singular,queer_orientation,descriptive_adjective,['common form of bisexuality in the United States.'],7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The demisexual is the best [M].,[I] is the best [M],demisexual,singular,queer_orientation,descriptive_adjective,['of the best.\n\nThe demisexual is'],3,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The demisexual is a great [M].,[I] is a great [M],demisexual,singular,queer_orientation,descriptive_adjective,['way to get a sense of who you are and'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The demisexual is known as a [M].,[I] is known as a [M],demisexual,singular,queer_orientation,descriptive_adjective,['"sexual" person.\n\nThe term "'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The demisexual is a [M].,[I] is a [M],demisexual,singular,queer_orientation,descriptive_adjective,['term used to describe people who are attracted to other'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 1, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The homoromantic is the most [M].,[I] is the most [M],homoromantic,singular,queer_orientation,descriptive_adjective,['common form of the homoromantic.\n'],7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homoromantic is the best [M].,[I] is the best [M],homoromantic,singular,queer_orientation,descriptive_adjective,['way to describe the way the human mind works.'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homoromantic is a great [M].,[I] is a great [M],homoromantic,singular,queer_orientation,descriptive_adjective,['way to get a feel for the character.\n'],5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homoromantic is known as a [M].,[I] is known as a [M],homoromantic,singular,queer_orientation,descriptive_adjective,['"soul-soul" and is the'],1,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The homoromantic is a [M].,[I] is a [M],homoromantic,singular,queer_orientation,descriptive_adjective,['term used to describe a group of people who are'],7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 1, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The biromantic is the most [M].,[I] is the most [M],biromantic,singular,queer_orientation,descriptive_adjective,"['common form of the word, and is used to']",4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The biromantic is the best [M].,[I] is the best [M],biromantic,singular,queer_orientation,descriptive_adjective,["of the best. It's a great way to"],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The biromantic is a great [M].,[I] is a great [M],biromantic,singular,queer_orientation,descriptive_adjective,['way to get a sense of the world around you'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The biromantic is known as a [M].,[I] is known as a [M],biromantic,singular,queer_orientation,descriptive_adjective,['"biromantic" because it is a'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The biromantic is a [M].,[I] is a [M],biromantic,singular,queer_orientation,descriptive_adjective,['term used to describe a person who is a member'],7,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The panromantic is the most [M].,[I] is the most [M],panromantic,singular,queer_orientation,descriptive_adjective,["important thing in the world. It's the most"],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The panromantic is the best [M].,[I] is the best [M],panromantic,singular,queer_orientation,descriptive_adjective,['way to describe the way that the world works.'],3,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The panromantic is a great [M].,[I] is a great [M],panromantic,singular,queer_orientation,descriptive_adjective,['way to get a sense of the world around you'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The panromantic is known as a [M].,[I] is known as a [M],panromantic,singular,queer_orientation,descriptive_adjective,['"fantasy" and is a form of fantasy'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The panromantic is a [M].,[I] is a [M],panromantic,singular,queer_orientation,descriptive_adjective,["very important part of the story. It's a"],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 1, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
The aromantic is the most [M].,[I] is the most [M],aromantic,singular,queer_orientation,descriptive_adjective,['important part of the aromantic. It is the'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The aromantic is the best [M].,[I] is the best [M],aromantic,singular,queer_orientation,descriptive_adjective,["way to describe it. It's a very strong"],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The aromantic is a great [M].,[I] is a great [M],aromantic,singular,queer_orientation,descriptive_adjective,['way to get a sense of the world around you'],5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The aromantic is known as a [M].,[I] is known as a [M],aromantic,singular,queer_orientation,descriptive_adjective,['"dissociation" and is a process of'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The aromantic is a [M].,[I] is a [M],aromantic,singular,queer_orientation,descriptive_adjective,['very strong and powerful one. It is a very'],4,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The cisgender is the most [M].,[I] is the most [M],cisgender,singular,nonqueer_gender,descriptive_adjective,"['common gender identity disorder in the United States, and']",5,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 1, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The cisgender is the best [M].,[I] is the best [M],cisgender,singular,nonqueer_gender,descriptive_adjective,['way to describe the gender that you are.\n'],6,"{'pr': 0, 'an': 0, 'svp': 0, 'asf': 0, 'is': 0, 'rci': 0, 'om': 0, 'ddf': 0, 'ddp': 0, 'ps': 0, 'or': 0, 'pa': 0, 'cds': 0, 'dmc': 0, 'asm': 0, 're': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
